,shot_id,game,events,county,province,shot_type,set_play,shot_outcome,shot_pressure,assist_type,build_up_passes,shot_method,match_outcome,winning_margin,championship_stage,distance_from_goal,angle
0,Shot_1,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,8.0,Left Foot,Draw,Draw,Provincial Championship,14.56021978,-15.9453959
1,Shot_2,Armagh v Cavan,Shot,Armagh,Ulster,Goal Attempt,Open Play,Wide,Low,Hand Pass,4.0,Right Foot,Draw,Draw,Provincial Championship,11.18033989,26.56505118
2,Shot_3,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,Medium,Kick Pass,3.0,Right Foot,Draw,Draw,Provincial Championship,34.20526275,15.2551187
3,Shot_4,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Post,Low,Kick Pass,16.0,Right Foot,Draw,Draw,Provincial Championship,20.24845673,32.90524292
4,Shot_5,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Short,High,Hand Pass,10.0,Right Foot,Draw,Draw,Provincial Championship,32.24903099,-7.125016349
5,Shot_6,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,2.0,Right Foot,Draw,Draw,Provincial Championship,29.12043956,15.9453959
6,Shot_7,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,Low,Hand Pass,6.0,Right Foot,Draw,Draw,Provincial Championship,41.14608122,-25.94229549
7,Shot_8,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,Low,Hand Pass,12.0,Right Foot,Draw,Draw,Provincial Championship,27.80287755,52.30575953
8,Shot_9,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Wide,Low,Hand Pass,7.0,Right Foot,Draw,Draw,Provincial Championship,36.12478374,-4.763641691
9,Shot_10,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Short,Medium,Hand Pass,2.0,Left Foot,Draw,Draw,Provincial Championship,36.76955262,22.38013505
10,Shot_11,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,8.0,Left Foot,Draw,Draw,Provincial Championship,37.58989226,28.61045967
11,Shot_12,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,Low,Hand Pass,3.0,Right Foot,Draw,Draw,Provincial Championship,33.61547263,22.75097634
12,Shot_13,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Point,Medium,Hand Pass,4.0,Right Foot,Draw,Draw,Provincial Championship,39.8246155,-38.88449643
13,Shot_14,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Wide,Low,Hand Pass,1.0,Right Foot,Draw,Draw,Provincial Championship,31.38470965,-22.4794344
14,Shot_15,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,2.0,Right Foot,Draw,Draw,Provincial Championship,15.65247584,-26.56505118
15,Shot_16,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,5.0,Right Foot,Draw,Draw,Provincial Championship,29.68164416,57.38075693
16,Shot_17,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Point,Medium,Hand Pass,11.0,Right Foot,Draw,Draw,Provincial Championship,36.40054945,20.92450174
17,Shot_18,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,Medium,Hand Pass,6.050314465408805,Left Foot,Draw,Draw,Provincial Championship,26.07680962,-32.47119229
18,Shot_19,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Free Kick from Hands,Wide,Low,Free Kick Won,9.0,Right Foot,Draw,Draw,Provincial Championship,37.44329045,34.11447295
19,Shot_20,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Wide,Medium,Hand Pass,2.0,Right Foot,Draw,Draw,Provincial Championship,32.14031736,-5.355825043
20,Shot_21,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Wide,Low,Hand Pass,9.0,Left Foot,Draw,Draw,Provincial Championship,27.20294102,53.97262661
21,Shot_22,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Wide,Low,Kick Pass,1.0,Right Foot,Draw,Draw,Provincial Championship,39.59797975,45.0
22,Shot_23,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,3.0,Right Foot,Draw,Draw,Provincial Championship,22.0,0.0
23,Shot_24,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Short,Low,Hand Pass,11.0,Left Foot,Draw,Draw,Provincial Championship,32.24903099,29.7448813
24,Shot_25,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Short,Low,Hand Pass,14.0,Right Foot,Draw,Draw,Provincial Championship,51.623638,-8.914926957
25,Shot_26,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Point,Medium,Hand Pass,11.0,Right Foot,Draw,Draw,Provincial Championship,25.96150997,15.64224646
26,Shot_27,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Wide,Low,Other,0.0,Right Foot,Draw,Draw,Provincial Championship,39.81205847,-11.59217541
27,Shot_28,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,High,Hand Pass,7.0,Right Foot,Draw,Draw,Provincial Championship,18.11077028,6.340191746
28,Shot_29,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Point,High,Kick Pass,2.0,Left Foot,Draw,Draw,Provincial Championship,31.06444913,33.17851166
29,Shot_30,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Blocked,High,Other,0.0,Right Foot,Draw,Draw,Provincial Championship,20.24845673,20.22485943
30,Shot_31,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,High,Hand Pass,7.0,Right Foot,Draw,Draw,Provincial Championship,36.76955262,-22.38013505
31,Shot_32,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Point,Low,Hand Pass,6.0,Right Foot,Draw,Draw,Provincial Championship,41.18252056,-29.0546041
32,Shot_33,Armagh v Cavan,Shot,Armagh,Ulster,Goal Attempt,Open Play,Goal,Medium,Hand Pass,9.0,Right Foot,Draw,Draw,Provincial Championship,12.36931688,14.03624347
33,Shot_34,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Free Kick from Ground,Point,Low,Free Kick Won,1.0,Right Foot,Draw,Draw,Provincial Championship,47.85394446,-10.84030545
34,Shot_35,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Wide,Low,Hand Pass,5.0,Left Foot,Draw,Draw,Provincial Championship,33.61547263,30.37912601
35,Shot_36,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Short,High,Hand Pass,9.0,Left Foot,Draw,Draw,Provincial Championship,36.40054945,-15.9453959
