county,set_play,shot_outcome,shot_pressure,assist_type,build_up_passes,shot_method,distance_from_goal
Cavan,Free Kick from Hands,Point,Low,Free Kick Won,8,Left Foot,14.56021978
Armagh,Open Play,Wide,Low,Hand Pass,4,Right Foot,11.18033989
Armagh,Open Play,Point,Medium,Kick Pass,3,Right Foot,34.20526275
Cavan,Open Play,Post,Low,Kick Pass,16,Right Foot,20.24845673
Cavan,Open Play,Short,High,Hand Pass,10,Right Foot,32.24903099
Cavan,Free Kick from Hands,Point,Low,Free Kick Won,2,Right Foot,29.12043956
Armagh,Open Play,Point,Low,Hand Pass,6,Right Foot,41.14608122
Armagh,Open Play,Point,Low,Hand Pass,12,Right Foot,27.80287755
Cavan,Open Play,Wide,Low,Hand Pass,7,Right Foot,36.12478374
Armagh,Open Play,Short,Medium,Hand Pass,2,Left Foot,36.76955262
Cavan,Free Kick from Hands,Point,Low,Free Kick Won,8,Left Foot,37.58989226
Armagh,Open Play,Point,Low,Hand Pass,3,Right Foot,33.61547263
Cavan,Open Play,Point,Medium,Hand Pass,4,Right Foot,39.8246155
Cavan,Open Play,Wide,Low,Hand Pass,1,Right Foot,31.38470965
Cavan,Free Kick from Hands,Point,Low,Free Kick Won,2,Right Foot,15.65247584
Armagh,Free Kick from Hands,Point,Low,Free Kick Won,5,Right Foot,29.68164416
Cavan,Open Play,Point,Medium,Hand Pass,11,Right Foot,36.40054945
Armagh,Open Play,Point,Medium,Hand Pass,6.050314465,Left Foot,26.07680962
Armagh,Free Kick from Hands,Wide,Low,Free Kick Won,9,Right Foot,37.44329045
Armagh,Open Play,Wide,Medium,Hand Pass,2,Right Foot,32.14031736
Cavan,Open Play,Wide,Low,Hand Pass,9,Left Foot,27.20294102
Armagh,Open Play,Wide,Low,Kick Pass,1,Right Foot,39.59797975
Armagh,Free Kick from Hands,Point,Low,Free Kick Won,3,Right Foot,22
Cavan,Open Play,Short,Low,Hand Pass,11,Left Foot,32.24903099
Armagh,Open Play,Short,Low,Hand Pass,14,Right Foot,51.623638
Cavan,Open Play,Point,Medium,Hand Pass,11,Right Foot,25.96150997
Cavan,Open Play,Wide,Low,Other,0,Right Foot,39.81205847
Armagh,Open Play,Point,High,Hand Pass,7,Right Foot,18.11077028
Cavan,Open Play,Point,High,Kick Pass,2,Left Foot,31.06444913
Cavan,Open Play,Blocked,High,Other,0,Right Foot,20.24845673
Armagh,Open Play,Point,High,Hand Pass,7,Right Foot,36.76955262
Cavan,Open Play,Point,Low,Hand Pass,6,Right Foot,41.18252056
Armagh,Open Play,Goal,Medium,Hand Pass,9,Right Foot,12.36931688
Armagh,Free Kick from Ground,Point,Low,Free Kick Won,1,Right Foot,47.85394446
Armagh,Open Play,Wide,Low,Hand Pass,5,Left Foot,33.61547263
Cavan,Open Play,Short,High,Hand Pass,9,Left Foot,36.40054945
Cavan,Free Kick from Hands,Point,Low,Free Kick Won,0,Right Foot,15.65247584
Cavan,Open Play,Blocked,High,Hand Pass,1,Right Foot,38.60051813
Cavan,Free Kick from Hands,Wide,Low,Free Kick Won,1,Left Foot,37.48332963
Armagh,Open Play,Point,Low,Kick Pass,7,Left Foot,42.3792402
