year,sucid_in_hundredk
1985-01-01,134.47
1986-01-01,152.9
1987-01-01,144.98
1988-01-01,146.24
1989-01-01,138.93
1990-01-01,134.9
1991-01-01,119.24
1992-01-01,126.86
1993-01-01,134.77
1994-01-01,122.05
1995-01-01,52.91
1996-01-01,118.03
1997-01-01,111.4
1998-01-01,54.29
1999-01-01,117.19
2000-01-01,131.39
2001-01-01,69.96
2002-01-01,98.11
2003-01-01,99.53999999999999
2004-01-01,92.81
2005-01-01,90.75
2006-01-01,88.54
2007-01-01,118.35
2008-01-01,118.11
2009-01-01,107.32
2010-01-01,79.89
2011-01-01,79.49000000000001
2012-01-01,87.14
2013-01-01,79.39
2014-01-01,111.35
2015-01-01,112.13000000000001
