year,sucid_in_hundredk
1985-01-01,163.41
1986-01-01,175.79
1987-01-01,188.82
1988-01-01,179.32000000000002
1989-01-01,168.11
1990-01-01,172.35
1991-01-01,180.15
1992-01-01,170.64000000000001
1993-01-01,154.95
1994-01-01,167.75
1995-01-01,155.19
1996-01-01,175.34
1997-01-01,186.93
1998-01-01,176.41
1999-01-01,167.15
2000-01-01,157.82
2001-01-01,158.79
2002-01-01,144.68
2003-01-01,133.84
2004-01-01,133.76
2006-01-01,127.89
2007-01-01,130.25
2008-01-01,130.49
2009-01-01,130.12
2010-01-01,132.64000000000001
2011-01-01,133.22
2012-01-01,139.57
2013-01-01,138.78
2014-01-01,149.07
2015-01-01,154.18
