year,sucid_in_hundredk
1985-01-01,384.81
1986-01-01,401.8
1987-01-01,405.88
1988-01-01,357.64
1989-01-01,359.32
1990-01-01,353.78000000000003
1991-01-01,355.47
1992-01-01,341.74
1993-01-01,347.96
1994-01-01,343.62
1995-01-01,223.14
1996-01-01,218.71
1997-01-01,196.22
1998-01-01,187.60999999999999
1999-01-01,145.76
2000-01-01,289.77
2001-01-01,261.90999999999997
2002-01-01,276.92
2003-01-01,257.06
2004-01-01,120.48
2005-01-01,113.89999999999999
2006-01-01,140.52
2007-01-01,141.85
2008-01-01,129.89999999999998
2009-01-01,133.92
2010-01-01,207.55
2011-01-01,211.49
2012-01-01,206.63
2013-01-01,212.12
2014-01-01,209.82
2015-01-01,194.62
2016-01-01,183.23
