year,sucid_in_hundredk
1985-01-01,332.03999999999996
1986-01-01,314.69
1987-01-01,327.76
1988-01-01,283.8
1989-01-01,284.84999999999997
1990-01-01,277.11
1991-01-01,264.02
1992-01-01,265.88
1993-01-01,300.47
1994-01-01,300.4
1995-01-01,285.9
1996-01-01,267.53999999999996
1997-01-01,284.74
1998-01-01,264.74
1999-01-01,171.97
2000-01-01,267.8
2001-01-01,261.22
2002-01-01,247.85999999999999
2003-01-01,248.73
2004-01-01,231.06
2005-01-01,231.75
2006-01-01,214.9
2007-01-01,208.57
2008-01-01,221.54
2009-01-01,218.35000000000002
2010-01-01,220.18
2011-01-01,226.70999999999998
2012-01-01,217.13
2013-01-01,201.55
2014-01-01,201.85
2015-01-01,196.66
