year,sucid_in_hundredk
1985-01-01,59.18
1986-01-01,57.16
1987-01-01,70.12
1988-01-01,65.36
1989-01-01,64.02
1990-01-01,67.06
1991-01-01,68.34
1992-01-01,64.92
1993-01-01,67.86
1994-01-01,71.51
1995-01-01,75.24
1996-01-01,73.33
1997-01-01,76.80000000000001
1998-01-01,75.05
1999-01-01,67.64999999999999
2000-01-01,68.23
2001-01-01,73.49
2002-01-01,69.77
2003-01-01,68.07
2004-01-01,70.22
2005-01-01,73.6
2006-01-01,69.9
2007-01-01,71.68
2008-01-01,72.21
2009-01-01,70.37
2010-01-01,72.73
2011-01-01,72.41
2012-01-01,74.45
2013-01-01,73.41
2014-01-01,58.5
2015-01-01,62.25
