year,sucid_in_hundredk
1985-01-01,303.12
1986-01-01,275.48
1987-01-01,308.4
1988-01-01,292.49
1989-01-01,292.19
1990-01-01,256.43
1991-01-01,268.94
1992-01-01,310.6
1993-01-01,278.36
1994-01-01,288.39
1995-01-01,277.85
1996-01-01,296.2
1997-01-01,276.36
1998-01-01,304.61
1999-01-01,58.25
2000-01-01,259.22
2001-01-01,160.61
2002-01-01,156.19
2003-01-01,126.61
2004-01-01,115.24
2005-01-01,84.71000000000001
2006-01-01,80.12
2007-01-01,103.61
2008-01-01,109.97999999999999
2009-01-01,100.46
2010-01-01,97.24
2011-01-01,90.32000000000001
2012-01-01,102.98
2013-01-01,84.64
2014-01-01,139.77
