year,sucid_in_hundredk
1985-01-01,166.46
1986-01-01,190.10999999999999
1987-01-01,179.32999999999998
1988-01-01,175.38
1989-01-01,170.98
1990-01-01,165.02
1991-01-01,167.78
1992-01-01,163.6
1993-01-01,164.02
1994-01-01,161.91
1995-01-01,163.52
1996-01-01,162.89
1997-01-01,151.43
1998-01-01,150.12
1999-01-01,158.44
2000-01-01,139.0
2001-01-01,137.43
2002-01-01,137.73
2003-01-01,137.27
2004-01-01,131.66
2005-01-01,133.84
2006-01-01,126.43
2007-01-01,127.45
2008-01-01,127.59
2009-01-01,130.67
2010-01-01,132.67000000000002
2011-01-01,125.02
2012-01-01,127.88
2013-01-01,133.09
