year,sucid_in_hundredk
1985-01-01,108.91
1986-01-01,90.94
1987-01-01,89.42
1988-01-01,94.9
1989-01-01,100.44
1990-01-01,91.86
1991-01-01,98.83
1992-01-01,78.88
1993-01-01,103.18
1994-01-01,95.33999999999999
1995-01-01,108.91
1996-01-01,95.71000000000001
1997-01-01,100.13
1998-01-01,109.77
1999-01-01,79.31
2000-01-01,108.52
2001-01-01,147.58
2002-01-01,149.28
2003-01-01,153.54
2004-01-01,155.69
2005-01-01,147.43
2006-01-01,155.06
2007-01-01,150.92000000000002
2008-01-01,167.88
2009-01-01,174.3
2010-01-01,162.88
2011-01-01,160.84
2012-01-01,148.41
2013-01-01,134.52
2014-01-01,137.37
2015-01-01,147.68
