year,sucid_in_hundredk
1985-01-01,62.56
1986-01-01,50.11
1987-01-01,45.17
1988-01-01,50.64
1989-01-01,41.69
1990-01-01,43.43
1991-01-01,43.57
1992-01-01,49.48
1993-01-01,49.23
1994-01-01,55.95
1995-01-01,49.64
1996-01-01,53.17
1997-01-01,52.77
1998-01-01,81.68
1999-01-01,84.1
2000-01-01,89.78
2001-01-01,88.27
2002-01-01,81.38
2003-01-01,79.85
2004-01-01,84.25
2005-01-01,74.84
2006-01-01,78.41
2007-01-01,74.25
2008-01-01,74.22
2009-01-01,73.83
2010-01-01,67.24
2011-01-01,62.879999999999995
2012-01-01,66.45
2013-01-01,63.53
2014-01-01,66.62
2015-01-01,70.39999999999999
