year,sucid_in_hundredk
1992-01-01,369.71
1993-01-01,392.92999999999995
1994-01-01,363.31
1995-01-01,352.76
1996-01-01,316.23
1997-01-01,317.4
1998-01-01,326.98
1999-01-01,306.12
2000-01-01,272.77
2001-01-01,244.51
2002-01-01,240.42000000000002
2003-01-01,221.12
2004-01-01,216.12
2005-01-01,205.94
2006-01-01,202.55
2007-01-01,188.17999999999998
2008-01-01,190.99
2009-01-01,201.32999999999998
2010-01-01,202.13
2011-01-01,207.05
2012-01-01,204.0
2013-01-01,116.84
2014-01-01,184.63
2015-01-01,194.31
