year,sucid_in_hundredk
1990-01-01,314.21999999999997
1991-01-01,292.01
1992-01-01,303.21
1993-01-01,297.64
1994-01-01,293.28
1995-01-01,176.87
1996-01-01,154.42000000000002
1997-01-01,160.32
1998-01-01,153.5
1999-01-01,151.88
2000-01-01,153.72
2001-01-01,146.86
2002-01-01,140.95000000000002
2003-01-01,156.78
2004-01-01,144.97
2005-01-01,140.93
2006-01-01,122.16
2007-01-01,123.18
2008-01-01,116.9
2009-01-01,123.52
2010-01-01,175.62
2011-01-01,186.23999999999998
2012-01-01,196.23
2013-01-01,186.07
2014-01-01,175.29
2015-01-01,170.87
2016-01-01,161.76
