year,sucid_in_hundredk
1987-01-01,347.35
1988-01-01,354.04
1989-01-01,373.36
1990-01-01,396.22
1991-01-01,377.58
1992-01-01,349.87
1993-01-01,333.0
1994-01-01,330.24
1995-01-01,324.96
1996-01-01,289.65
1997-01-01,310.35
1998-01-01,235.54000000000002
1999-01-01,283.11
2000-01-01,265.65
2001-01-01,267.19
2002-01-01,255.52
2003-01-01,243.45
2004-01-01,243.95000000000002
2005-01-01,230.52
2006-01-01,233.8
2007-01-01,223.07999999999998
2008-01-01,220.29
2009-01-01,228.48999999999998
2010-01-01,215.21
2011-01-01,203.61
2012-01-01,187.01
2013-01-01,196.82999999999998
2014-01-01,177.16
2015-01-01,161.19
