year,sucid_in_hundredk
1985-01-01,348.9
1986-01-01,351.77
1987-01-01,331.03
1988-01-01,312.72
1989-01-01,312.53
1990-01-01,302.73
1991-01-01,298.1
1992-01-01,301.47
1993-01-01,312.69
1994-01-01,299.95
1995-01-01,292.62
1996-01-01,76.24000000000001
1997-01-01,266.33
1998-01-01,253.65
1999-01-01,245.82999999999998
2000-01-01,257.23
2001-01-01,239.94
2002-01-01,238.64000000000001
2003-01-01,241.31
2004-01-01,232.51000000000002
2005-01-01,232.09000000000003
2006-01-01,220.63
2007-01-01,79.1
2008-01-01,216.20999999999998
2009-01-01,216.24
2010-01-01,211.17000000000002
2011-01-01,211.18
2012-01-01,198.98
2013-01-01,192.33
2014-01-01,120.56
