year,sucid_in_hundredk
1990-01-01,259.45000000000005
1991-01-01,258.11
1992-01-01,250.04000000000002
1993-01-01,235.5
1994-01-01,230.79
1995-01-01,150.32
1996-01-01,216.42000000000002
1997-01-01,210.96
1998-01-01,200.51
1999-01-01,189.24
2000-01-01,185.55
2001-01-01,185.78
2002-01-01,183.95999999999998
2003-01-01,181.24
2004-01-01,66.3
2005-01-01,62.12
2006-01-01,152.52
2007-01-01,146.52
2008-01-01,145.52
2009-01-01,39.92
2010-01-01,152.17000000000002
2011-01-01,152.82
2012-01-01,148.31
2013-01-01,153.07999999999998
2014-01-01,104.31
2015-01-01,100.76
