year,sucid_in_hundredk
1985-01-01,58.17
1986-01-01,61.21
1987-01-01,63.06
1988-01-01,60.12
1989-01-01,54.53
1990-01-01,51.49
1991-01-01,54.57
1992-01-01,48.93
1993-01-01,53.1
1994-01-01,46.84
1995-01-01,49.68
1996-01-01,45.129999999999995
1997-01-01,47.660000000000004
1998-01-01,48.27
1999-01-01,45.739999999999995
2000-01-01,44.86
2001-01-01,38.81
2002-01-01,38.35
2003-01-01,40.67
2004-01-01,40.92
2005-01-01,46.53
2006-01-01,45.410000000000004
2007-01-01,33.910000000000004
2008-01-01,40.3
2009-01-01,40.97
2010-01-01,39.9
2011-01-01,48.68
2012-01-01,53.32
2013-01-01,55.11
2014-01-01,59.82
2015-01-01,56.06
