year,sucid_in_hundredk
1991-01-01,575.0
1992-01-01,570.26
1993-01-01,539.28
1994-01-01,535.81
1995-01-01,493.42
1996-01-01,338.51
1997-01-01,470.44
1998-01-01,311.12
1999-01-01,483.88
2000-01-01,269.02
2001-01-01,274.59000000000003
2002-01-01,382.75
2003-01-01,372.03999999999996
2004-01-01,369.46999999999997
2005-01-01,352.01
2006-01-01,222.79999999999998
2007-01-01,217.98000000000002
2008-01-01,219.12
2009-01-01,220.18
2010-01-01,219.74
2011-01-01,216.34
2012-01-01,205.86
2013-01-01,180.62
2014-01-01,244.31
2015-01-01,257.27
2016-01-01,241.34
