year,sucid_in_hundredk
1985-01-01,102.16
1986-01-01,104.88
1987-01-01,95.42
1988-01-01,113.24
1989-01-01,110.56
1990-01-01,125.68
1991-01-01,126.53
1992-01-01,137.87
1993-01-01,117.14999999999999
1994-01-01,142.82
1995-01-01,143.84
1996-01-01,145.54
1997-01-01,156.15
1998-01-01,162.17
1999-01-01,141.22
2000-01-01,142.36
2001-01-01,148.97
2002-01-01,135.82
2003-01-01,134.77
2004-01-01,129.42000000000002
2005-01-01,121.11
2006-01-01,126.46000000000001
2007-01-01,121.77
2008-01-01,129.56
2009-01-01,132.63
2010-01-01,120.3
2011-01-01,138.58
2012-01-01,137.66
2013-01-01,117.41
2014-01-01,119.68
