year,sucid_in_hundredk
1985-01-01,112.03
1986-01-01,130.28
1987-01-01,133.61
1988-01-01,124.16
1989-01-01,170.32
1990-01-01,122.26
1991-01-01,139.34
1992-01-01,130.95
1993-01-01,137.23
1994-01-01,149.89
1995-01-01,90.27000000000001
1996-01-01,69.97
1997-01-01,82.54
1998-01-01,68.2
1999-01-01,73.57000000000001
2000-01-01,73.28
2001-01-01,74.89
2002-01-01,93.49
2003-01-01,97.17
2004-01-01,98.44
2005-01-01,102.91
2006-01-01,80.52
2007-01-01,73.67
2008-01-01,55.510000000000005
2009-01-01,80.32
2010-01-01,99.47
2011-01-01,87.41
2012-01-01,83.78999999999999
2013-01-01,74.21
2014-01-01,71.26
2015-01-01,65.91
