year,sucid_in_hundredk
1985-01-01,133.4
1986-01-01,131.05
1987-01-01,125.54
1988-01-01,121.81
1989-01-01,116.64
1990-01-01,121.98
1991-01-01,115.87
1992-01-01,115.47999999999999
1993-01-01,121.14
1994-01-01,118.92999999999999
1995-01-01,118.00999999999999
1996-01-01,115.45
1997-01-01,117.04
1998-01-01,113.84
1999-01-01,99.72
2000-01-01,99.22
2001-01-01,95.87
2002-01-01,94.61
2003-01-01,94.42
2004-01-01,91.33
2005-01-01,56.269999999999996
2006-01-01,52.35
2007-01-01,53.61
2008-01-01,81.69
2009-01-01,81.92999999999999
2010-01-01,55.02
2011-01-01,57.48
2012-01-01,85.45
2013-01-01,84.86
2014-01-01,82.13
2015-01-01,78.45
