year,sucid_in_hundredk
1985-01-01,90.52
1986-01-01,323.55
1987-01-01,295.28999999999996
1988-01-01,251.43
1989-01-01,263.42
1990-01-01,246.37
1991-01-01,234.51
1992-01-01,240.28
1993-01-01,172.33
1994-01-01,173.86
1995-01-01,91.43
1996-01-01,90.13
1997-01-01,92.32000000000001
1998-01-01,185.14
1999-01-01,204.07
2000-01-01,247.52
2001-01-01,267.16
2002-01-01,265.84
2003-01-01,279.40999999999997
2004-01-01,266.25
2005-01-01,266.89
2006-01-01,262.24
2007-01-01,268.76
2008-01-01,265.32
2009-01-01,266.69
2010-01-01,255.48
2011-01-01,252.41
2012-01-01,233.7
2013-01-01,42.17
2014-01-01,218.21
2015-01-01,206.04000000000002
