year,sucid_in_hundredk
1985-01-01,38.17
1986-01-01,45.74
1987-01-01,41.43
1988-01-01,42.22
1989-01-01,48.260000000000005
1990-01-01,48.849999999999994
1991-01-01,47.69
1992-01-01,52.07
1993-01-01,52.0
1994-01-01,55.92
1995-01-01,59.09
1996-01-01,56.33
1997-01-01,57.07
1998-01-01,56.84
1999-01-01,54.89
2000-01-01,54.89
2001-01-01,63.3
2002-01-01,58.36
2003-01-01,63.0
2004-01-01,34.0
2005-01-01,62.22
2006-01-01,59.22
2007-01-01,58.010000000000005
2008-01-01,60.83
2009-01-01,64.14
2010-01-01,61.01
2011-01-01,65.52
2012-01-01,63.43
2013-01-01,64.99
2014-01-01,68.38
2015-01-01,66.57
