year,sucid_in_hundredk
1985-01-01,159.89000000000001
1986-01-01,158.28
1987-01-01,157.17000000000002
1988-01-01,147.6
1989-01-01,136.01
1990-01-01,136.17000000000002
1991-01-01,150.49
1992-01-01,143.49
1993-01-01,135.98
1994-01-01,136.96
1995-01-01,125.02
1996-01-01,101.5
1997-01-01,102.56
1998-01-01,96.97
1999-01-01,96.06
2000-01-01,118.99
2001-01-01,116.3
2002-01-01,119.73
2003-01-01,113.33
2004-01-01,111.16
2005-01-01,113.28
2006-01-01,113.19
2007-01-01,97.44
2008-01-01,102.09
2009-01-01,108.3
2010-01-01,109.49000000000001
2011-01-01,113.08
2012-01-01,118.51
2013-01-01,125.53
2014-01-01,121.42
2015-01-01,126.93
2016-01-01,127.39
