year,sucid_in_hundredk
1985-01-01,153.64
1986-01-01,178.67
1987-01-01,210.52
1988-01-01,205.03
1989-01-01,190.62
1990-01-01,186.57
1991-01-01,175.48
1992-01-01,183.59
1993-01-01,163.98000000000002
1994-01-01,198.63
1995-01-01,199.42000000000002
1996-01-01,195.13
1997-01-01,198.28
1998-01-01,201.07
1999-01-01,176.8
2000-01-01,157.54
2001-01-01,179.9
2002-01-01,152.03
2003-01-01,172.35
2004-01-01,163.41
2005-01-01,157.93
2006-01-01,156.74
2007-01-01,148.19
2008-01-01,151.78
2009-01-01,153.0
2010-01-01,152.62
2011-01-01,142.82
2012-01-01,158.03
2013-01-01,144.55
