year,sucid_in_hundredk
1986-01-01,163.62
1987-01-01,191.56
1988-01-01,208.5
1989-01-01,197.89
1990-01-01,191.31
1991-01-01,194.82
1992-01-01,181.64000000000001
1993-01-01,178.05
1994-01-01,150.53
1995-01-01,156.35
1996-01-01,153.93
1997-01-01,158.61
1998-01-01,153.66
1999-01-01,163.33
2000-01-01,150.32999999999998
2001-01-01,154.29
2002-01-01,141.0
2003-01-01,138.07999999999998
2004-01-01,141.37
2005-01-01,142.09
2006-01-01,142.67000000000002
2007-01-01,127.77
2008-01-01,132.03
2009-01-01,145.74
2010-01-01,136.43
2011-01-01,146.49
2012-01-01,126.0
2013-01-01,127.01
2014-01-01,127.22999999999999
2015-01-01,136.43
