year,sucid_in_hundredk
1985-01-01,164.82
1986-01-01,165.53
1987-01-01,171.32999999999998
1988-01-01,137.75
1989-01-01,130.32
1990-01-01,150.21
1991-01-01,165.16
1992-01-01,148.3
1993-01-01,125.83
1994-01-01,123.82000000000001
1995-01-01,128.93
1996-01-01,115.77000000000001
1997-01-01,102.18
1998-01-01,87.06
1999-01-01,89.46
2000-01-01,85.88
2001-01-01,115.73
2002-01-01,104.2
2003-01-01,97.24
2007-01-01,80.67
2008-01-01,81.3
2009-01-01,80.48
2010-01-01,82.72
2011-01-01,76.04
2012-01-01,79.79
2013-01-01,79.56
2014-01-01,153.89000000000001
