year,sucid_in_hundredk
1989-01-01,157.77
1990-01-01,125.92
1991-01-01,133.38
1992-01-01,164.18
1993-01-01,162.07
1994-01-01,172.78
1995-01-01,156.18
1996-01-01,159.98
1997-01-01,161.6
1998-01-01,161.29
1999-01-01,158.27
2000-01-01,159.19
2001-01-01,149.11
2002-01-01,173.6
2003-01-01,159.71
2004-01-01,151.19
2005-01-01,146.01
2006-01-01,149.09
2007-01-01,136.06
2008-01-01,140.4
2009-01-01,144.02
2010-01-01,150.04
2011-01-01,138.78
2012-01-01,142.03
2013-01-01,137.99
2014-01-01,131.03
2015-01-01,133.54999999999998
2016-01-01,116.33
