year,sucid_in_hundredk
1985-01-01,114.93
1986-01-01,119.83
1987-01-01,122.14
1988-01-01,127.28
1989-01-01,126.49000000000001
1990-01-01,129.24
1991-01-01,121.84
1992-01-01,119.01
1993-01-01,120.85000000000001
1994-01-01,124.32000000000001
1995-01-01,123.81
1996-01-01,126.53
1997-01-01,131.32
1998-01-01,124.04
1999-01-01,75.13
2000-01-01,77.26
2001-01-01,71.37
2002-01-01,73.12
2003-01-01,116.49
2004-01-01,112.63000000000001
2005-01-01,107.66
2006-01-01,99.86999999999999
2007-01-01,98.95
2008-01-01,98.52
2009-01-01,63.88
2010-01-01,56.04
2011-01-01,56.22
2012-01-01,48.89
2013-01-01,54.16
2014-01-01,104.35000000000001
2015-01-01,97.38000000000001
