year,sucid_in_hundredk
1987-01-01,230.91
1988-01-01,231.67000000000002
1989-01-01,238.33999999999997
1990-01-01,222.05
1991-01-01,217.54
1992-01-01,200.78
1993-01-01,200.97
1994-01-01,195.69
1995-01-01,191.72
1996-01-01,178.24
1997-01-01,167.19
1998-01-01,175.8
1999-01-01,172.64
2000-01-01,162.5
2001-01-01,167.49
2002-01-01,162.71
2003-01-01,153.41
2004-01-01,157.41
2005-01-01,164.62
2006-01-01,160.76
2007-01-01,147.39000000000001
2008-01-01,155.68
2009-01-01,160.4
2010-01-01,146.54
2011-01-01,141.77
2012-01-01,148.10999999999999
2013-01-01,158.20000000000002
2014-01-01,149.05
2015-01-01,149.3
2016-01-01,138.84
