year,sucid_in_hundredk
1985-01-01,82.53999999999999
1986-01-01,71.91
1987-01-01,81.82000000000001
1990-01-01,95.92
1991-01-01,86.46000000000001
1992-01-01,83.1
1994-01-01,56.27
1995-01-01,93.52000000000001
1996-01-01,93.05
1997-01-01,86.37
1998-01-01,99.56
1999-01-01,109.03
2000-01-01,86.28999999999999
2002-01-01,98.04
2003-01-01,91.16
2004-01-01,86.06
2005-01-01,77.99
2006-01-01,69.03999999999999
2007-01-01,79.14
2008-01-01,78.18
2009-01-01,78.56
2010-01-01,80.5
2011-01-01,43.57
2012-01-01,48.9
2013-01-01,46.65
2014-01-01,76.96000000000001
2015-01-01,81.15
2016-01-01,77.32
