year,sucid_in_hundredk
1987-01-01,173.61
1988-01-01,162.45
1989-01-01,135.33
1990-01-01,172.01
1991-01-01,126.94
1992-01-01,111.85
1993-01-01,115.42999999999999
1994-01-01,116.92
1995-01-01,90.44
1996-01-01,103.64
1997-01-01,100.97
1998-01-01,136.5
1999-01-01,145.06
2000-01-01,112.13
2001-01-01,133.46
2002-01-01,115.43
2003-01-01,107.02000000000001
2004-01-01,112.8
2005-01-01,134.19
2006-01-01,143.84
2007-01-01,96.69
2008-01-01,117.58
2009-01-01,42.54
2010-01-01,45.75
2011-01-01,31.63
2012-01-01,30.6
2013-01-01,23.29
2014-01-01,28.15
2015-01-01,28.48
