year,sucid_in_hundredk
1987-01-01,294.04
1988-01-01,286.72
1989-01-01,316.32
1990-01-01,296.7
1991-01-01,297.91
1992-01-01,322.49
1993-01-01,352.11
1994-01-01,310.72
1995-01-01,14.209999999999999
1996-01-01,403.42
1997-01-01,395.67
1998-01-01,390.15000000000003
1999-01-01,94.78999999999999
2000-01-01,95.8
2001-01-01,13.08
2002-01-01,12.76
2003-01-01,12.41
2004-01-01,29.86
2005-01-01,28.86
2006-01-01,27.13
2007-01-01,281.12
2008-01-01,274.5
2009-01-01,279.26
2010-01-01,263.07
2011-01-01,264.0
2012-01-01,268.47
2014-01-01,250.5
2015-01-01,244.71999999999997
