year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,112.13,112.13,112.13
2016-01-01,97.8,68.15,109.89
2017-01-01,99.26,92.15,90.54
2018-01-01,98.51,103.38,94.12
2019-01-01,98.89,78.47,98.36
2020-01-01,98.7,93.56,103.25
2021-01-01,98.8,92.9,83.91
2022-01-01,98.75,79.52,87.49
2023-01-01,98.77,95.02,91.73
2024-01-01,98.76,89.8,96.62
2025-01-01,98.77,81.29,77.27
2026-01-01,98.76,93.69,80.85
2027-01-01,98.77,87.73,85.09
2028-01-01,98.76,83.76,89.98
2029-01-01,98.77,92.53,70.64
2030-01-01,98.77,86.38,74.22
