year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2016-01-01,40.56,40.56,40.56
2017-01-01,37.83,40.45,33.8
2018-01-01,38.77,38.82,32.07
2019-01-01,39.63,39.04,29.91
2020-01-01,36.24,35.15,27.32
2021-01-01,38.61,35.76,32.74
2022-01-01,36.4,36.2,31.01
2023-01-01,36.59,37.79,28.85
2024-01-01,36.2,38.34,26.26
2025-01-01,35.53,40.39,31.67
2026-01-01,35.24,40.85,29.95
2027-01-01,34.83,40.73,27.78
2028-01-01,34.31,39.56,25.19
2029-01-01,34.0,38.67,30.61
2030-01-01,33.53,37.28,28.88
2031-01-01,33.15,36.58,26.72
