year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,154.18,154.18,154.18
2016-01-01,154.18,152.56,121.08
2017-01-01,154.18,150.23,127.01
2018-01-01,154.18,151.47,123.59
2019-01-01,154.18,149.66,119.43
2020-01-01,154.18,149.47,114.54
2021-01-01,154.18,146.56,120.47
2022-01-01,154.18,148.3,117.05
2023-01-01,154.18,144.58,112.89
2024-01-01,154.18,147.69,108.0
2025-01-01,154.18,142.33,113.93
2026-01-01,154.18,148.2,110.5
2027-01-01,154.18,139.96,106.34
2028-01-01,154.18,149.81,101.45
2029-01-01,154.18,136.74,107.38
2030-01-01,154.18,153.06,103.96
