year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2016-01-01,183.23,183.23,183.23
2017-01-01,185.31,174.51,114.83
2018-01-01,185.6,166.69,100.82
2019-01-01,186.74,161.77,84.98
2020-01-01,186.64,157.38,67.3
2021-01-01,187.32,152.93,84.32
2022-01-01,187.1,149.17,70.32
2023-01-01,187.54,145.68,54.47
2024-01-01,187.31,142.53,36.8
2025-01-01,187.62,139.91,53.81
2026-01-01,187.42,137.59,39.81
2027-01-01,187.64,135.55,23.96
2028-01-01,187.47,133.78,6.29
2029-01-01,187.64,132.2,23.3
2030-01-01,187.5,130.82,9.3
2031-01-01,187.63,129.6,-6.54
