year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,196.66,196.66,196.66
2016-01-01,195.57,188.45,202.26
2017-01-01,194.48,185.55,182.94
2018-01-01,193.4,184.29,181.95
2019-01-01,192.33,181.13,183.26
2020-01-01,191.27,179.04,186.86
2021-01-01,190.21,178.65,167.54
2022-01-01,189.15,177.98,166.55
2023-01-01,188.1,177.18,167.85
2024-01-01,187.06,177.08,171.45
2025-01-01,186.03,177.19,152.13
2026-01-01,184.99,177.12,151.14
2027-01-01,183.97,177.19,152.45
2028-01-01,182.95,177.41,156.05
2029-01-01,181.94,177.58,136.73
2030-01-01,180.93,177.7,135.74
