year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,62.25,62.25,62.25
2016-01-01,62.09,65.99,79.91
2017-01-01,62.76,65.67,72.17
2018-01-01,61.96,64.03,74.13
2019-01-01,62.62,67.01,76.72
2020-01-01,61.82,68.88,79.94
2021-01-01,62.49,69.13,72.2
2022-01-01,61.69,69.61,74.15
2023-01-01,62.35,71.02,76.75
2024-01-01,61.56,71.73,79.97
2025-01-01,62.22,71.98,72.22
2026-01-01,61.42,72.4,74.18
2027-01-01,62.09,72.92,76.77
2028-01-01,61.29,73.16,79.99
2029-01-01,61.95,73.28,72.25
2030-01-01,61.16,73.47,74.21
