year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2014-01-01,139.77,139.77,139.77
2015-01-01,139.77,90.38,85.96
2016-01-01,139.77,128.98,87.62
2017-01-01,139.77,105.61,50.38
2018-01-01,139.77,113.7,49.26
2019-01-01,139.77,112.88,49.54
2020-01-01,139.77,107.11,51.2
2021-01-01,139.77,112.15,13.97
2022-01-01,139.77,106.3,12.85
2023-01-01,139.77,108.91,13.12
2024-01-01,139.77,106.65,14.78
2025-01-01,139.77,106.45,-22.44
2026-01-01,139.77,106.35,-23.56
2027-01-01,139.77,105.28,-23.28
2028-01-01,139.77,105.54,-21.63
2029-01-01,139.77,104.76,-58.86
