year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2013-01-01,133.09,133.09,133.09
2014-01-01,128.85,132.21,114.98
2015-01-01,129.31,131.57,107.5
2016-01-01,131.5,133.16,98.42
2017-01-01,130.43,134.08,115.26
2018-01-01,129.91,134.25,109.39
2019-01-01,130.92,134.81,101.91
2020-01-01,130.7,135.53,92.83
2021-01-01,130.33,136.02,109.67
2022-01-01,130.67,136.46,103.8
2023-01-01,130.71,136.97,96.33
2024-01-01,130.51,137.44,87.25
2025-01-01,130.61,137.87,104.09
2026-01-01,130.67,138.28,98.22
2027-01-01,130.59,138.69,90.74
2028-01-01,130.6,139.08,81.66
