year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,147.68,147.68,147.68
2016-01-01,146.73,130.99,161.49
2017-01-01,145.79,136.42,164.56
2018-01-01,144.85,142.1,166.46
2019-01-01,143.92,123.4,169.05
2020-01-01,143.0,134.6,172.32
2021-01-01,142.08,135.99,175.39
2022-01-01,141.17,118.01,177.29
2023-01-01,140.26,134.91,179.87
2024-01-01,139.36,130.47,183.14
2025-01-01,138.47,115.24,186.21
2026-01-01,137.58,136.51,188.11
2027-01-01,136.7,125.05,190.69
2028-01-01,135.82,114.79,193.96
2029-01-01,134.95,138.4,197.03
2030-01-01,134.08,119.48,198.93
