year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,70.39,70.39,70.39
2016-01-01,71.66,74.0,84.78
2017-01-01,73.19,74.39,82.5
2018-01-01,70.58,75.94,84.37
2019-01-01,71.57,76.42,86.4
2020-01-01,69.71,77.06,88.59
2021-01-01,69.59,76.14,86.31
2022-01-01,69.56,75.72,88.18
2023-01-01,68.65,74.67,90.21
2024-01-01,68.58,74.12,92.39
2025-01-01,68.49,73.1,90.11
2026-01-01,67.3,72.66,91.98
2027-01-01,67.92,72.08,94.01
2028-01-01,66.75,72.01,96.2
2029-01-01,66.66,71.82,93.92
2030-01-01,66.51,72.02,95.79
