year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2016-01-01,213.56,213.56,213.56
2017-01-01,184.19,122.41,209.17
2018-01-01,165.08,149.96,212.46
2019-01-01,218.11,128.93,214.29
2020-01-01,217.18,156.24,214.66
2021-01-01,196.18,124.58,217.93
2022-01-01,179.81,162.14,221.23
2023-01-01,195.57,140.33,223.06
2024-01-01,213.2,167.33,223.43
2025-01-01,203.87,138.55,226.7
2026-01-01,189.49,164.93,230.0
2027-01-01,191.05,139.18,231.83
2028-01-01,203.85,162.92,232.2
2029-01-01,205.8,138.01,235.47
2030-01-01,196.39,161.94,238.77
2031-01-01,192.24,139.19,240.6
