year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,194.31,194.31,194.31
2016-01-01,194.31,77.43,70.56
2017-01-01,194.31,211.96,113.69
2018-01-01,194.31,138.82,91.27
2019-01-01,194.31,13.5,64.04
2020-01-01,194.31,277.59,32.01
2021-01-01,194.31,44.81,75.15
2022-01-01,194.31,-14.39,52.73
2023-01-01,194.31,382.65,25.49
2024-01-01,194.31,-149.28,-6.52
2025-01-01,194.31,42.52,36.6
2026-01-01,194.31,503.85,14.18
2027-01-01,194.31,-480.38,-13.05
2028-01-01,194.31,293.47,-45.07
2029-01-01,194.31,544.11,-1.93
2030-01-01,194.31,-967.3,-24.35
