year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2016-01-01,161.76,161.76,161.76
2017-01-01,160.06,150.53,118.06
2018-01-01,159.61,144.35,110.89
2019-01-01,159.61,142.25,102.85
2020-01-01,159.61,143.79,93.96
2021-01-01,159.61,146.05,100.48
2022-01-01,159.61,148.78,93.3
2023-01-01,159.61,150.23,85.26
2024-01-01,159.61,151.12,76.37
2025-01-01,159.61,150.84,82.89
2026-01-01,159.61,150.5,75.72
2027-01-01,159.61,149.76,67.68
2028-01-01,159.61,149.46,58.79
2029-01-01,159.61,149.12,65.31
2030-01-01,159.61,149.21,58.13
2031-01-01,159.61,149.2,50.09
