year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,121.42,121.42,121.42
2016-01-01,112.54,136.99,75.94
2017-01-01,120.9,156.31,87.34
2018-01-01,112.97,159.98,77.68
2019-01-01,117.02,153.51,67.83
2020-01-01,112.28,137.94,57.79
2021-01-01,114.02,130.02,69.19
2022-01-01,111.01,136.96,59.53
2023-01-01,111.51,149.83,49.68
2024-01-01,109.44,157.56,39.64
2025-01-01,109.28,153.32,51.04
2026-01-01,107.73,141.73,41.38
2027-01-01,107.21,134.12,31.53
2028-01-01,105.95,136.86,21.49
2029-01-01,105.25,146.65,32.89
2030-01-01,104.16,154.15,23.24
