year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,161.19,161.19,161.19
2016-01-01,159.88,169.48,141.84
2017-01-01,152.96,153.98,142.96
2018-01-01,146.04,159.54,132.45
2019-01-01,139.12,146.07,122.11
2020-01-01,132.21,144.41,111.94
2021-01-01,125.29,138.85,113.06
2022-01-01,118.37,132.99,102.55
2023-01-01,111.45,130.8,92.21
2024-01-01,104.54,123.55,82.04
2025-01-01,97.62,121.35,83.16
2026-01-01,90.7,115.48,72.65
2027-01-01,83.78,112.14,62.31
2028-01-01,76.87,107.89,52.14
2029-01-01,69.95,103.64,53.26
2030-01-01,63.03,100.28,42.75
