year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2014-01-01,120.56,120.56,120.56
2015-01-01,171.2,185.39,105.37
2016-01-01,168.46,126.87,88.01
2017-01-01,165.72,175.06,116.21
2018-01-01,162.98,132.31,99.09
2019-01-01,160.24,162.3,81.84
2020-01-01,157.5,135.31,64.48
2021-01-01,154.76,152.56,92.68
2022-01-01,152.01,136.02,75.57
2023-01-01,149.27,145.16,58.32
2024-01-01,146.53,134.96,40.95
2025-01-01,143.79,139.34,69.16
2026-01-01,141.05,132.84,52.04
2027-01-01,138.31,134.51,34.79
2028-01-01,135.57,130.13,17.43
2029-01-01,132.82,130.29,45.63
