year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,100.76,100.76,100.76
2016-01-01,115.66,155.19,77.93
2017-01-01,115.66,128.16,85.89
2018-01-01,115.66,168.43,77.39
2019-01-01,115.66,81.74,66.9
2020-01-01,115.66,139.33,54.43
2021-01-01,115.66,127.89,62.38
2022-01-01,115.66,138.56,53.88
2023-01-01,115.66,163.69,43.39
2024-01-01,115.66,67.98,30.92
2025-01-01,115.66,182.45,38.88
2026-01-01,115.66,73.83,30.37
2027-01-01,115.66,194.28,19.88
2028-01-01,115.66,105.12,7.41
2029-01-01,115.66,110.67,15.37
2030-01-01,115.66,176.17,6.87
