year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,56.06,56.06,56.06
2016-01-01,56.06,56.88,38.84
2017-01-01,56.06,53.69,41.78
2018-01-01,56.06,52.76,40.54
2019-01-01,56.06,51.57,39.12
2020-01-01,56.06,50.49,37.52
2021-01-01,56.06,50.33,40.46
2022-01-01,56.06,49.62,39.22
2023-01-01,56.06,49.62,37.8
2024-01-01,56.06,49.29,36.2
2025-01-01,56.06,49.21,39.14
2026-01-01,56.06,49.1,37.9
2027-01-01,56.06,48.97,36.48
2028-01-01,56.06,48.94,34.87
2029-01-01,56.06,48.84,37.81
2030-01-01,56.06,48.83,36.58
