year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2016-01-01,241.34,241.34,241.34
2017-01-01,241.34,240.07,134.59
2018-01-01,241.34,261.85,110.15
2019-01-01,241.34,257.17,82.08
2020-01-01,241.34,243.68,50.41
2021-01-01,241.34,249.11,76.31
2022-01-01,241.34,257.02,51.87
2023-01-01,241.34,249.8,23.8
2024-01-01,241.34,245.03,-7.86
2025-01-01,241.34,250.83,18.04
2026-01-01,241.34,252.45,-6.4
2027-01-01,241.34,247.43,-34.46
2028-01-01,241.34,247.31,-66.14
2029-01-01,241.34,250.92,-40.23
2030-01-01,241.34,250.04,-64.67
2031-01-01,241.34,247.57,-92.74
