year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2016-01-01,138.07,138.07,138.07
2017-01-01,139.72,133.25,118.91
2018-01-01,139.72,140.48,112.86
2019-01-01,139.72,135.13,105.3
2020-01-01,139.72,134.06,96.22
2021-01-01,139.72,135.49,113.89
2022-01-01,139.72,133.02,107.85
2023-01-01,139.72,135.12,100.28
2024-01-01,139.72,134.45,91.21
2025-01-01,139.72,133.39,108.88
2026-01-01,139.72,134.35,102.84
2027-01-01,139.72,133.57,95.27
2028-01-01,139.72,133.92,86.19
2029-01-01,139.72,134.1,103.87
2030-01-01,139.72,133.58,97.82
2031-01-01,139.72,133.91,90.26
