year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2014-01-01,119.68,119.68,119.68
2015-01-01,120.76,125.86,146.61
2016-01-01,120.53,124.81,149.28
2017-01-01,120.3,128.77,143.13
2018-01-01,120.07,135.57,145.79
2019-01-01,119.84,138.66,148.45
2020-01-01,119.62,140.54,151.11
2021-01-01,119.39,142.1,144.96
2022-01-01,119.16,141.48,147.62
2023-01-01,118.94,139.39,150.28
2024-01-01,118.71,137.12,152.95
2025-01-01,118.49,134.73,146.79
2026-01-01,118.26,132.58,149.45
2027-01-01,118.04,131.28,152.12
2028-01-01,117.82,130.88,154.78
2029-01-01,117.59,131.24,148.63
