year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,65.91,65.91,65.91
2016-01-01,64.45,75.28,32.32
2017-01-01,63.03,82.48,48.87
2018-01-01,61.64,98.82,40.97
2019-01-01,60.27,106.56,32.45
2020-01-01,58.94,114.98,23.33
2021-01-01,57.64,109.76,39.88
2022-01-01,56.37,102.75,31.98
2023-01-01,55.13,85.72,23.46
2024-01-01,53.91,73.37,14.33
2025-01-01,52.72,60.7,30.88
2026-01-01,51.55,60.57,22.98
2027-01-01,50.42,65.49,14.46
2028-01-01,49.3,82.03,5.34
2029-01-01,48.21,98.14,21.89
2030-01-01,47.15,115.59,13.99
