year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,78.45,78.45,78.45
2016-01-01,78.88,98.92,78.52
2017-01-01,80.56,109.37,62.48
2018-01-01,80.85,117.25,63.77
2019-01-01,80.21,113.16,66.02
2020-01-01,79.91,119.11,69.23
2021-01-01,80.1,120.23,53.19
2022-01-01,80.28,122.8,54.48
2023-01-01,80.25,115.64,56.73
2024-01-01,80.16,113.03,59.94
2025-01-01,80.15,108.05,43.9
2026-01-01,80.19,107.63,45.19
2027-01-01,80.2,102.74,47.44
2028-01-01,80.19,101.36,50.64
2029-01-01,80.18,98.58,34.61
2030-01-01,80.18,100.23,35.9
