year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,206.04,206.04,206.04
2016-01-01,185.13,394.29,264.07
2017-01-01,245.12,325.76,250.86
2018-01-01,262.87,387.63,257.6
2019-01-01,278.35,222.47,262.31
2020-01-01,301.88,201.18,264.98
2021-01-01,308.53,29.27,251.77
2022-01-01,307.36,34.19,258.52
2023-01-01,300.37,-52.68,263.23
2024-01-01,284.72,34.66,265.9
2025-01-01,264.96,37.54,252.69
2026-01-01,244.05,168.38,259.43
2027-01-01,224.13,188.81,264.14
2028-01-01,208.29,283.43,266.81
2029-01-01,198.48,252.41,253.6
2030-01-01,195.62,272.84,260.35
