year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,66.56,66.56,66.56
2016-01-01,66.55,64.09,49.0
2017-01-01,66.88,65.92,62.76
2018-01-01,66.88,65.25,59.87
2019-01-01,66.88,63.59,56.29
2020-01-01,66.88,64.08,52.02
2021-01-01,66.88,64.18,65.78
2022-01-01,66.88,63.14,62.89
2023-01-01,66.88,63.14,59.31
2024-01-01,66.88,63.33,55.04
2025-01-01,66.88,62.81,68.79
2026-01-01,66.88,62.62,65.9
2027-01-01,66.88,62.76,62.32
2028-01-01,66.88,62.53,58.05
2029-01-01,66.88,62.34,71.81
2030-01-01,66.88,62.39,68.92
