year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2016-01-01,127.39,127.39,127.39
2017-01-01,127.39,124.86,103.22
2018-01-01,127.39,124.37,101.69
2019-01-01,127.39,122.78,100.03
2020-01-01,127.39,121.66,98.25
2021-01-01,127.39,121.64,98.49
2022-01-01,127.39,121.58,96.95
2023-01-01,127.39,121.66,95.3
2024-01-01,127.39,121.71,93.51
2025-01-01,127.39,121.46,93.76
2026-01-01,127.39,121.08,92.22
2027-01-01,127.39,120.66,90.56
2028-01-01,127.39,120.24,88.78
2029-01-01,127.39,119.9,89.02
2030-01-01,127.39,119.64,87.49
2031-01-01,127.39,119.41,85.83
