year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2013-01-01,144.55,144.55,144.55
2014-01-01,146.36,157.45,149.75
2015-01-01,147.24,155.21,145.97
2016-01-01,143.27,157.26,141.08
2017-01-01,146.62,161.69,145.62
2018-01-01,142.47,156.95,142.97
2019-01-01,144.94,160.77,139.2
2020-01-01,142.11,157.37,134.31
2021-01-01,143.25,158.62,138.84
2022-01-01,141.58,159.32,136.2
2023-01-01,141.79,158.84,132.42
2024-01-01,140.84,160.87,127.53
2025-01-01,140.56,159.84,132.07
2026-01-01,139.93,160.59,129.42
2027-01-01,139.45,160.05,125.65
2028-01-01,138.94,159.7,120.76
