year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,136.43,136.43,136.43
2016-01-01,131.92,132.91,139.87
2017-01-01,135.76,133.49,120.58
2018-01-01,131.25,134.16,122.5
2019-01-01,135.1,134.02,125.87
2020-01-01,130.59,134.27,130.67
2021-01-01,134.44,134.44,111.39
2022-01-01,129.94,134.56,113.31
2023-01-01,133.79,134.7,116.68
2024-01-01,129.28,134.82,121.48
2025-01-01,133.13,134.93,102.19
2026-01-01,128.63,135.04,104.12
2027-01-01,132.48,135.13,107.48
2028-01-01,127.99,135.22,112.29
2029-01-01,131.84,135.31,93.0
2030-01-01,127.34,135.38,94.92
