year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,166.99,166.99,166.99
2016-01-01,151.43,147.51,144.17
2017-01-01,145.84,146.72,155.12
2018-01-01,145.56,137.04,151.81
2019-01-01,151.69,159.73,148.71
2020-01-01,157.37,146.89,145.85
2021-01-01,161.45,183.97,156.8
2022-01-01,161.67,138.54,153.49
2023-01-01,159.85,199.21,150.4
2024-01-01,157.05,99.11,147.53
2025-01-01,155.21,230.57,158.49
2026-01-01,154.63,35.04,155.17
2027-01-01,155.32,318.93,152.08
2028-01-01,156.43,-81.93,149.22
2029-01-01,157.38,504.02,160.17
2030-01-01,157.74,-335.25,156.85
