year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2014-01-01,153.88,153.88,153.88
2015-01-01,163.38,146.03,51.2
2016-01-01,152.22,143.87,39.51
2017-01-01,122.41,104.14,59.48
2018-01-01,136.12,118.69,50.74
2019-01-01,144.61,120.64,40.52
2020-01-01,153.38,141.83,28.83
2021-01-01,136.8,128.98,48.8
2022-01-01,136.76,129.37,40.05
2023-01-01,133.43,118.8,29.83
2024-01-01,143.88,128.77,18.14
2025-01-01,136.69,127.43,38.11
2026-01-01,138.56,133.05,29.37
2027-01-01,130.49,126.44,19.14
2028-01-01,137.42,128.4,7.45
2029-01-01,132.06,125.51,27.42
