year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2016-01-01,116.33,116.33,116.33
2017-01-01,121.62,108.69,134.18
2018-01-01,119.54,101.46,133.15
2019-01-01,119.88,93.1,132.36
2020-01-01,119.43,82.83,131.83
2021-01-01,119.23,73.93,130.51
2022-01-01,118.96,64.77,129.48
2023-01-01,118.71,55.07,128.69
2024-01-01,118.45,45.09,128.15
2025-01-01,118.19,35.13,126.84
2026-01-01,117.94,24.9,125.81
2027-01-01,117.68,14.39,125.02
2028-01-01,117.43,3.66,124.48
2029-01-01,117.18,-7.26,123.17
2030-01-01,116.92,-18.45,122.14
2031-01-01,116.67,-29.89,121.35
